year,name,sumrelig,pop,religions,relpop
1990,GMY,78959500,79402000,chrstgen,62557600
1995,GMY,79862005,81661000,chrstgen,60917960
2000,GMY,81529635,82220000,chrstgen,56327135
2005,GMY,77326455,82464000,chrstgen,54399203
2010,GMY,81115256,81698976,chrstgen,57827992
1955,GFR,51488287,52364000,chrstgen,50138530
1960,GFR,55287786,55423000,chrstgen,53515733
1965,GFR,59007072,59041000,chrstgen,57075186
1970,GFR,60268400,60714000,chrstgen,57417016
1975,GFR,61472472,61847000,chrstgen,58136180
1980,GFR,61483420,61538000,chrstgen,57645720
1985,GFR,60476432,60975000,chrstgen,56552000
1990,GFR,62850760,63253000,chrstgen,57550000
1955,GDR,16910442,17944000,chrstgen,15121173
1960,GDR,16659181,17241000,chrstgen,14251002
1965,GDR,16407921,17020000,chrstgen,13380831
1970,GDR,15987457,17058000,chrstgen,12341457
1975,GDR,15823534,16850000,chrstgen,11432084
1980,GDR,16288213,16737000,chrstgen,10998400
1985,GDR,16586521,16644000,chrstgen,10415170
1945,POL,24080491,24182000,chrstgen,22731079
1950,POL,24815813,24824000,chrstgen,23585121
